"RNA.1","RNA.2","RNA.3","RNA.4","PROT.1","PROT.2","PROT.3","PROT.4"
0.13111182997438,0.0145508687291241,0.0211954454334774,0.0165155063880268,0.136460151924964,0,0.0192905364019947,0.0239319255260787
0.118472210275012,0.0327552941239399,0.00411907845454539,0.0251024714977798,0.120306529175863,0.0258306599952403,0.0141215676888721,0.0243948044744382
0.0787622541655192,0.0278656528582934,0.0272558838604442,0.0432450940502973,0.132857799312811,0.00431050954181701,0.0198935862983185,0.0205453452935893
0.134397390631234,0.0112165268294838,0.016424844282962,0.024001748382581,0.156904254335923,0.00956573659531872,0.00430169664461491,0.0101030128081362
0.0196012351937927,0.169636159048491,0.0147977354085139,0.00787196444774749,0.0158233858112702,0.165155019812402,0.0150540060921569,0.0196072643639604
0.0138129442792001,0.199428350912624,0.00209003919811626,0.00346434950624041,0.0122101668765288,0.18480945741699,0.0125703427132457,0.0143766257954858
0.0172779193022136,0.166259642754573,0.0105020054133265,0.0182904975341021,0.0124991880663598,0.171041921397123,0.0121674172198448,0.0225188549719186
0.0280848931468518,0.184248152880122,0.00162225447878398,0,0.0241014162207546,0.18749202954707,0.00766647722877303,0.00288884385397776
0.0219782261250704,0.0191340002056791,0.0161518590993174,0.119027522616213,0.0178617171472869,0.017017878108598,0.0133904282064093,0.122906789762041
0.0113065538088472,0.0249811547029182,0.00587446494264236,0.136827543124005,0,0.030889840135154,0.0123537695219731,0.134837082918503
0.0208966181741076,0.0265917958476827,0.0190396293730034,0.114205892418863,0.0403604359760652,0.0543584864894473,0.00850532023153659,0.0739090216197323
0.006754753020004,0.0191873983390852,0.0139697004914411,0.133003692597741,0.00452184641164562,0.0262967703471902,0.00524948104137685,0.141656450764913
0,0.0246232323692079,0.144158723787252,0.0168558803621024,0.0187452436626761,0.0151292475496964,0.145097940582389,0.00577650994243037
0.00537896696755748,0.00232026776235983,0.16029025564909,0.0118479179594401,0.0257387062381946,0.030111762554657,0.0926960777289741,0.0321907162410092
0.0303207850132983,0.0179401363803352,0.1407054995269,0,0.00907410297789136,0.0197363763899901,0.150813720077625,0.0102001364867094
0.0119951366777225,0.0446548291005301,0.120678789442428,0.0120272151703355,0.0331339920499475,0.0142653524820045,0.132823896806589,0.0103667274710852
0.0374056161195257,0.049146702935649,0.0823890715419078,0.0245346207859954,0.0578629760895185,0.0688801552099026,0.0217985923363013,0.0446209052964749
0.0617507965123573,0.0545036288740229,0.0351645399451909,0.0350448317227551,0.0501051970474963,0.0549874088791662,0.000601149226024562,0.0809219325356929
0.0751084714262252,0.0611929784466599,0,0.0570891874565331,0.00896774582176587,0.0740717671429274,0.044066061110449,0.0668029240509243
0.0647361593696921,0.0434600194792543,0.0179930691998646,0.0622909179917701,0.0560182864332206,0.0443156330297284,0.0388243718057368,0.0381348989962821
