"RNA.gene6","RNA.gene7","RNA.gene8","RNA.gene9","RNA.gene10","RNA.gene11","RNA.gene12","RNA.gene13","RNA.gene14","RNA.gene15","RNA.gene16","RNA.gene17","RNA.gene18","RNA.gene19","RNA.gene20","RNA.gene21","PROT.gene6","PROT.gene7","PROT.gene8","PROT.gene9","PROT.gene10","PROT.gene11","PROT.gene12","PROT.gene13","PROT.gene14","PROT.gene15","PROT.gene16","PROT.gene17","PROT.gene18","PROT.gene19","PROT.gene20","PROT.gene21"
0.0591734445224284,0.0166608918396096,0,0.0456533960932504,0.093894481093104,0.0531066018361642,0,0,0,0,0,0.134912182089035,0.123728190218271,0.129523639030474,0,0,0,0,0.171548655439748,0,0,0,0.0713332990472375,0.0193721785968627,0,0.0192440044209464,0.0389289135929201,0,0,0,0.0682421179401209,0.0979673393444388
0.0150705070115476,0.00248666967229642,0.0225183194399887,0,0,0.0123829007385427,0,0,0.0583295802173818,0,0,0,0,0.0319479305284892,0,0,0,0,0,0.0664677506229625,0.0136243713752453,0,0,0,0,0.0203644380021087,0.00995034150067664,0,0.0234972725725859,0,0,0.00682835036061756
0,0.0528965497167818,0,0,0,0,0.0733598729487189,0,0,0,0.0443723935742535,0,0,0,0.15236481338135,0,0.0251683534530028,0,0,0.0347959466527291,0,0.089816425434671,0,0.00129611694683731,0.0197106430877902,0.0601386400256814,0,0,0.109637836804008,0.019352097204902,0,0.00770247033396607
0,0.0123217324061245,0.0806158380537659,0,0,0.0150395593128385,0,0.116677862487204,0.0670049348986056,0.212212507165462,0,0,0,0.000291947917668772,0,0.0408774385920852,0.0402765142653535,0,0,0,0,0,0.121752536641863,0,0,0,0.0402729613710685,0.279616284065803,0,0,0.135506116295225,0
