"RNA.1","RNA.2","RNA.3","PROT.1","PROT.2","PROT.3"
0.0247984515477617,0.038804728251598,0.126015170215682,0.0241727798022119,0.0979513954841555,0.0641064473284983
0.0262535402152593,0.0845325750807992,0.070856956514872,0.0488464847026929,0.0284522189554134,0.118066358451644
0.0593226761341949,0.00178721542593236,0.119832295261234,0.068881869970392,0.0505507251642099,0.0635759839262041
0.0429906380949357,0.133217876273009,0.00941225544852954,0.05361291305722,0.0598966741881664,0.0792083556674167
0.023357481696425,0.0943809165832273,0.0654335695963411,0.0577508318281268,0.0694892625646078,0.0664283631397861
0.0544604460578099,0.0196603454963802,0.124577228791057,0.0670158801855874,0.0850699991843862,0.0336585328309785
0.0680621689826632,0.0179712923317068,0.101795194329347,0.0372780824303891,0.0467237584390335,0.111597047115729
0.0176765614549938,0.0487929642064842,0.130277452137737,0.0179775160549284,0.123718325658794,0.0444478869234927
0.0456986497387441,0.0470841866612964,0.103433525683178,0.0372272558671922,0.109364233093975,0.0501821611839326
0.0104994279871682,0.0619145343325889,0.119970577524678,0.048610052673362,0.0749100643061693,0.0553595243528961
0.0131948271714147,0.0608286626314317,0.119679669010403,0.0269192530543689,0.0554172088672284,0.113841870098665
0.0670519459574788,0.0391608211159132,0.0759867428846686,0.0380862430620012,0.0423928715823416,0.114676410696567
0.0342633963016208,0.0321087415902626,0.12557543088921,0.0561326508894397,0.0483555568238111,0.0883260347050013
0.072809729461489,0.0383363361869573,0.0853830548932121,0.0310802107693521,0.0771637386027843,0.0837577580827946
0.0186590462565027,0.0687139341822717,0.096456027918717,0.0336069436574009,0.112621555290734,0.0448646967900342
0.0663792793934221,0.031047426733438,0.0956490844660157,0.0310467500660561,0.0512193696530748,0.106261746501007
0.0380143816334007,0.139285444866581,0.0111647760921484,0.0167899118478223,0.11004149698606,0.0528806181112804
0.0305944707232439,0.0543848781946833,0.112672195772577,0.0172444493246831,0.060944489678064,0.104031782983332
0,0.0080781631496753,0.190656976502473,0.102949278342432,0.0716797611989303,0
0.0653737123278198,0.121803179257821,0.0102647015228582,0.0485452703187916,0.0684879643281095,0.0792601531827213
0.0485675537415883,0.0154583486497294,0.130263383705038,0.0699200632513872,0.0282446973562479,0.0900036678313443
0.0308575596891184,0.0415167136706408,0.120244204257582,0.0203830548803677,0,0.189084645281739
0.0654072541308815,0.0746312588679832,0.0505202667347782,0.0407070954289701,0.0893625756106907,0.0683012550903139
0.057382318232026,0.0756694061982254,0.043134332801658,0.0388014371134398,0.081237263671671,0.0625761579844173
0.0265955475892733,0.0493771352924322,0.113463712225529,0.0723054944904767,0.0409585952207977,0.0713226297095341
0.0612491815590868,0.014213922871372,0.114002175818548,0.00441770146989443,0.0692677223068198,0.118843358789603
0.0760031973470465,0.0798228193414647,0.0456236755038661,0.00185197952092106,0.150010734510921,0.0435914523807928
0.034030624872239,0.012825800407906,0.153737818188944,0.0833371275724846,0.0423163249913772,0.0561585466120827
0.0559557512929596,0.114394345346694,0.0195587058015076,0.0304078698867732,0,0.180936256028259
0.0525524898240303,0.0919349008355706,0.0529903488205949,0.0597346003686499,0.0156593362437531,0.112991699602661
0.0616797440739255,0.0529852622406088,0.0816411247137236,0.044273601875484,0.146341150031462,0
0.0652025281240771,0.0479989205406416,0.0867268441603769,0.0138424066247139,0.0404922168661305,0.14983557480662
0.0527394042311789,0.0711694474409545,0.0597451463806998,0.0740385221935205,0.0727811718607761,0.0382796813079604
0.0475685228202303,0.0830356572573312,0.0468775533601115,0.0560806406516736,0.0214759386051653,0.109617279745597
0,0.0910099075762567,0.115504551677695,0.0568629442115875,0.0798472984969205,0.0534775868408261
0.0587922866675244,0.0542030749699131,0.0791922196995864,0.0404285511554001,0.0412836419137157,0.11376881676782
0.0421603302652947,0.141535440086571,0,0.0298165727588337,0,0.165292573552943
0.0690608702084917,0.108757030150593,0,0.0200083963786578,0.0727015548951575,0.102613198338919
0.0481497317322166,0.0463777105998635,0.107285999871317,0.0893035207720941,0,0.10550671637358
0.0546929946916024,0.0923857918123908,0.0345741949914281,0.010499408268976,0.0796159092004118,0.103001653955833
