"","celltype","batch_digest","batch_sort","batch_chromatography","batch_MS"
"i1327","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_1"
"i1328","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_1"
"i1334","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1335","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1336","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1337","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1338","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1339","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1340","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1341","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1342","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1343","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1344","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_4"
"i1349","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1350","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1351","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1352","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1353","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1354","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1355","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1356","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1357","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1358","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1359","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1360","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_13"
"i1365","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1366","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1367","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1368","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1369","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1370","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1371","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1372","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1373","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1374","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1375","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1376","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_17"
"i1381","Monocyte","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1382","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1383","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1384","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1385","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1386","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1387","Monocyte","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1388","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1390","Monocyte","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1391","Monocyte","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1392","Macrophage","T","s9","LCB7","X191108S_LCB7_X_APNOV16plex_Set_31"
"i1397","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1399","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1400","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1401","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1402","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1403","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1404","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1405","Monocyte","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1406","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1407","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1408","Macrophage","S","s9","LCB7","X191026S_LCB7_X_AP16plex_Set_6"
"i1413","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1414","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1415","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1416","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1417","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1419","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1420","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1421","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1422","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1423","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1424","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_21"
"i1429","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1430","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1433","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1434","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1435","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1437","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1438","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1440","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_15"
"i1445","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1446","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1447","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1448","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1449","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1450","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1451","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1452","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1454","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1455","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1456","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_20"
"i1461","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1462","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1463","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1464","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1465","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1466","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1467","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1468","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1469","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1470","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1471","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1472","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_10"
"i1477","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1479","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1480","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1481","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1482","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1483","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1484","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1485","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1486","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1487","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1488","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_3"
"i1493","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1494","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1495","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1496","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1497","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1498","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1499","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1500","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1501","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1502","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1503","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1504","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_7"
"i1509","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1510","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1512","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1513","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1514","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1515","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1516","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1517","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1518","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1519","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_5"
"i1524","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1525","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1526","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1527","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1529","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1530","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BI"
"i1540","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1541","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1542","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1543","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1545","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1546","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1547","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BE"
"i1556","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1557","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1558","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1560","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1562","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1563","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BJ"
"i1572","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AD"
"i1574","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AD"
"i1576","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AD"
"i1578","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AD"
"i1579","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AD"
"i1589","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1590","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1591","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1592","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1593","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1594","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1596","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1597","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1598","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1599","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1600","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_19"
"i1605","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1606","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1608","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1609","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1610","Monocyte","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1612","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1613","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1614","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1615","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1616","Macrophage","R","s9","LCB3","X190914S_LCB3_X_16plex_Set_21"
"i1620","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1621","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1622","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1623","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1624","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1625","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1626","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1627","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94AF"
"i1636","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1637","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1639","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1640","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1641","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1642","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97AE"
"i1652","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1653","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1655","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1656","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1657","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1658","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1659","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BI"
"i1668","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1670","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1671","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1672","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1673","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1675","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BN"
"i1684","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BH"
"i1688","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BH"
"i1689","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BH"
"i1690","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BH"
"i1691","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BH"
"i1700","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BN"
"i1702","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97BN"
"i1703","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BN"
"i1707","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97BN"
"i1718","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1719","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1721","Monocyte","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1722","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1724","Monocyte","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1725","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1726","Monocyte","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1727","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1728","Macrophage","T","s9","LCB7","X191104S_LCB7_X_AP_NOV16plex_Set_1"
"i1733","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1734","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1735","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1736","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1737","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1738","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1739","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1740","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1742","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1743","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1744","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_12"
"i1749","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1751","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1753","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1754","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1755","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1756","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1757","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1758","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1759","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1760","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_9"
"i1765","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1766","Monocyte","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1767","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1768","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1771","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1772","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1773","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1775","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1776","Macrophage","S","s9","LCB7","X191107S_LCB7_X_APOCT16plex_Set_20"
"i1781","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1782","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1783","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1784","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1785","Monocyte","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1786","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1787","Monocyte","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1788","Monocyte","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1789","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1790","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1791","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1792","Macrophage","S","s9","LCB7","X191108S_LCB7_X_APOCT16plex_Set_27"
"i1798","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1800","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1801","Monocyte","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1802","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1804","Monocyte","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1805","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1806","Monocyte","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1807","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1808","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_1"
"i1815","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BC"
"i1817","Monocyte","N","s8","LCA9","X190222S_LCA9_X_FP94BC"
"i1818","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BC"
"i1819","Macrophage","N","s8","LCA9","X190222S_LCA9_X_FP94BC"
"i1832","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AM"
"i1833","Monocyte","Q","s8","LCA10","X190321S_LCA10_X_FP97AM"
"i1834","Macrophage","Q","s8","LCA10","X190321S_LCA10_X_FP97AM"
"i1845","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1846","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1849","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1850","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1851","Monocyte","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1852","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1853","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1855","Macrophage","T","s9","LCB7","X191104S_LCB7_X_APNOV16plex_Set_3"
"i1861","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1862","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1863","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1864","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1865","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1867","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1868","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1869","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1870","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1871","Monocyte","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1872","Macrophage","T","s9","LCB7","X191107S_LCB7_X_APNOV16plex_Set_8"
"i1877","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1878","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1880","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1881","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1882","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1883","Monocyte","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1884","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1885","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1887","Macrophage","U","s9","LCB7","X191110S_LCB7_X_APNOV16plex2_Set_3"
"i1893","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_24"
"i1894","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_24"
"i1896","Monocyte","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_24"
"i1897","Macrophage","S","s9","LCB7","X191025S_LCB7_X_AP16plex_Set_24"
