"RNA.1","RNA.2","RNA.3","RNA.4","RNA.5","RNA.6","RNA.7","RNA.8","RNA.9","RNA.10","RNA.11","RNA.12","RNA.13","RNA.14","RNA.15","RNA.16","RNA.17","RNA.18","RNA.19","RNA.20","RNA.21","RNA.22","RNA.23","RNA.24","RNA.25","RNA.26","RNA.27","RNA.28","RNA.29","RNA.30","PROT.1","PROT.2","PROT.3","PROT.4","PROT.5","PROT.6","PROT.7","PROT.8","PROT.9","PROT.10","PROT.11","PROT.12","PROT.13","PROT.14","PROT.15","PROT.16","PROT.17","PROT.18","PROT.19","PROT.20","PROT.21","PROT.22","PROT.23","PROT.24","PROT.25","PROT.26","PROT.27","PROT.28","PROT.29","PROT.30"
0,0,0.0243086658404305,0.082327151314717,0.000681215965988919,0,0.00626989424483744,0,0.015397012379933,0.0142364436310081,0,0,0,0,0.00551134417326312,0,0,0.0068326658336779,0,0,0,0,0,0,0,0,0.000388029655810298,0,0,0,0.00123679228235134,0.00163371216691085,0.00723995663417976,0.00671469868660997,0.00292967660345496,0.000599895347566702,0.0091077399547568,7.93689158173064e-05,0,0,0.00653262592216438,0.00105851488729744,0.000777078007924043,0.00557837410124227,0.00725264029755402,0.00323518335067175,0,0.00266500177549005,0.00262836743039777,0.00219401185707235,0.0143642681884005,0.000422884330818988,0.0131451645441904,0.014820135055053,0.000269703796983161,0.00400534359489781,0.031011279625386,0.00240995212817126,0,0.0124891349420639
0,0,0.000109702914759039,0.022551317274546,0.000293366773933819,0,0.0120111366827422,0.00185893725424925,0.00342490809935265,0.0171968155745023,0,0,0,0.0022404021620694,0.000964330823576237,0.000282833289496578,0,0,0,0,0.0012871991710352,0.000757914960670245,0,0,0.000214780771033825,0,0,0,0.00179045363346464,0.00290921167620868,0.00145673120272159,0.0023624498871576,0.00708895747967807,0,0,0,0,0.00197175304369635,0.00696592767511399,0.0144618838926666,0.00681465380703091,0.000137090910608689,0.00405563899176768,0.00914173695067617,0.0100118779418068,0.00383261613491457,0,0.00117715690867477,0,0.00219014798137923,0.00925375216435425,0.0008422133067808,0.00631870869998448,0.015051044135476,0.00360830627874264,0.000923290186105031,0.0294099699855132,0.00121360839891215,0.00242827954833825,0.00852614779755479
2.07736563263483e-05,0.00124811425043376,0.000464522354396685,0.0735404452165965,0,0.00360872385437727,0.00141465322207069,0.00403865752979356,0.00934616542171432,0.0335535540655128,0,0.00750663460094094,0,0,0.000870847886104846,0,0.0083321144539001,0,0,0.00306388390916489,0.000788960269005153,0.00108316298878764,0.00125821403442388,6.20295181224546e-05,0.0252512130157723,0.00164504547123367,2.56026307838969e-05,0,0.00104213304883046,0.00101032834792022,0.000522095037875866,0,0.00827741019604374,0.00424602418167097,0.000154495901648573,0.00405182533652537,0.00901033763625479,0.00241540348167612,0,0,0.00812800273913445,0.00101555998812261,0.000812888788005393,0.00747931253463162,0.00571820927674432,0.0040365765805791,0.00410030231510827,0.00163359166228104,0.00112366644517625,0.000852869997740402,0.00345922173594379,0,0.0125759102267165,0.0126921521722162,0.00283540095211805,0.00468835990353983,0.0310102136774895,0.00316466066199908,0.00138333752926264,0.0135405482589838
0.0019323289399908,0,0.000632496964464052,0.0058165946570258,0.00142901008208626,0,0,0.00156899668614642,0.00514571474761918,0.056625848621043,0.000816848368221045,0,0.000146005695605591,0.000377550068389498,0.0036402012426664,0.000299868630853602,0.00407413872454343,0.00360217246318628,0.00407836893856448,0,0.00280845347905562,0,0.000617893014559196,0,0.00436816451642832,0,7.12120142180867e-05,0,0,0.00133506171384674,0.000952626045218674,0.0012541398165462,0.00677956593739289,0.00405759049042305,8.00223412815624e-05,0.00251949832955356,0.00247039097039111,0.00362123435302876,0.00076243196849389,0.00537532851940689,0.00418907189325817,0.000745504826440318,0.00293681795007399,0.00978575705455526,0.00713536512836982,0.0056675013679836,0.000677428864236548,0.00146517349996398,0.000541701749316105,0.00169404519040567,0.00831139395573382,0.00164199179978474,0.0122477739854331,0.0134929263640134,0.00323855559960238,0.00156936701575697,0.0298915901280304,0.00192922473902961,0.00307857158533456,0.0111557218540734
0,0,0,0.0104320498757302,0,0.00176877275823396,0.023115963015162,0.00391005978325756,0,0.0411999012384685,0.000326005008200862,0.00374704039005321,0.00766847819835484,0,0.000316925665274727,0.00768130069363989,7.84817603400052e-05,0.00114296070615193,0,0.00188953737070491,0,0.0193654846711998,0,0,0,0,0,0.0104739151018004,0,0.00171372652328351,0.000238279465973675,0.00225088552778453,0.00715448216471909,0.00193290143108132,0.000178883127193116,0.00332249671123268,0.00418264288945146,0.000814768742692344,0,0.000928919045027747,0.00523306353858424,0.000542743141899019,0.00309428651247156,0.0100108393533076,0.00769299584567664,0.00542690825560626,0.00360980637615119,0,0,0.00077869477195417,0.0127811608796936,0.00144643765009275,0.0104196252296601,0.0137948087027894,0.00434367000638577,0.00172728002235729,0.0304378646571175,0.00563234611125925,0.00404004138418333,0.0131978864495897
0,0,0,0.0422432256688604,0,0.0053987642998102,0.00578927995798512,0,0.0214708349725353,0.0179900797624803,0,0,0,0.00226621565492714,0.000384907980041823,0.0138413865501338,0.00573760355747258,0.0048278709006339,0,0,0,0.0151117506935078,0,0,0,0,9.33859138397117e-05,0.000266625135671337,0,0,0.000572587088130889,0.00139547855794174,0.00550051000141273,0.00711399550022832,0.00283234091689852,0.000855092045751457,0.0082138237623547,0.00266785451678277,0.000741715170030735,0.00153656224412626,0.00349329803307678,0.00118811590906082,0,0.0103944694095309,0.00759034164515505,0.00421711542153109,0,0.00411342361983079,0,0.000967327653993998,0.0112709588116694,0.000936187487172474,0.0111661221159666,0.0118120110701392,0,0.00440107081749554,0.0310819748541684,0.000283831794071455,0.00238144132706805,0.0110941423653513
0.00205786990282486,0,0.00496385717874204,0.0406999657019265,0,0,0.0126514453583328,0,0.013558914498649,0.0281514315569182,0,0.00643726360222111,0,0.00180755320612903,0,0.0111457584028199,0,0.00457068899320719,0,0.00188744108639714,0,0.00083570230329847,0,0.00127766606455694,0,0,0,0.000398093864780619,0,0.000309672851927476,0.00131012115180304,0.00033740696851262,0.00940829246213915,0.000538306766344416,0,0.000457862777203563,0.00115748547448879,0.00100066666848097,0.00174914015514879,0.00657978661852858,0.00632987251088605,0.00116654274862467,0.00462602181243715,0.00812882502835872,0.00885725946311106,0.00454864057359314,0.000225489881010038,0.00319541515343949,0,0.00211513048712944,0.00962225993183926,0.00222310331195222,0.0122276492248423,0.0162454960284406,0.00394489722282711,0.000527122631229267,0.0295738026875995,0.00348874380470698,0.0037153920258539,0.00979685571690735
0,0.000535204199337145,0,0.104755041378835,0.0018498287202314,0,0.051111510577757,0,0,0.016819597583404,0,0,0,0,0.00151807666386824,0,0,0,0.00228758457028676,0,0,0,0,0.00106375316965849,0,0,0,0,0.00217173287407084,0,0.000431395643204287,0.00254250565524598,0.00753733949088297,0.00394788405193047,0,0.00350404449645028,0.00862881866956975,0.00194588958802898,5.22403373810964e-05,0,0.00666694612618264,0.000850573472765598,0.00271278942188423,0.0079283675479411,0.00650591714637723,0.00333094462754138,0.00362244106286429,0.000135671492422251,0.00139776991287926,0.00133138976509959,0.00643537803697714,0,0.0123865284017097,0.0132220241369559,0.00336736448567969,0.00395311577943992,0.0307243144909755,0.0045816408756465,0,0.0141780453915647
0.00314943405036605,0,0.00206777851523636,0.0608291298196822,0.00102655870215891,0,0.00510112175110547,0,0.00542174438481017,0.0279541666290537,0.00441088357247151,0.000374608672799638,0,0.00385181707466494,0.00671248288607153,0,0.0045463496687577,0.00170426368459078,7.6598291832024e-05,3.488693495885e-05,0,0.00439855781350414,0.000202811587606376,0,0.00981847165299751,0,0,0.0011466092612955,0.00197588890749919,0,0.000791030851231256,0.000915637395234428,0.0072533758999038,0.00404679471772438,0,0.00282228655049659,0.00538710007088226,0.00208202587577157,6.80053411897074e-05,0.000501342449118942,0.00786136842778681,6.13645787938003e-05,0.00263525200565072,0.00596687343686157,0.00792608291211718,0.00469434472117653,0.0037119933051644,0,0.00133504796031269,0.00251666654691556,0.0110302113446146,0.00115027414231211,0.00877911021801879,0.0126933101951441,0.00319542544423542,0.00294866844382314,0.0312653211060194,0.00383297462146145,0.00167893264380148,0.0141123213968235
0.000259603542827824,0.00271573091862831,0,0.0891042094538733,0,0,0.00410590301083402,0,0,0.0363405973667799,0.00232394686713364,0,0.00109620197104583,0,0,0.000601176916837402,0.00358667189295558,0,0.000148563217345067,0,0.00279386715683745,0.000966818007515445,0,0,0.018749383431978,0,0,0,0,0,0.0017081323206242,0.00106022506295525,0.00668928602376142,0.00647798381396554,0.00301416262010267,0.000815377427305279,0.0101648863661929,0.00189544815902172,7.79896341997174e-05,0,0.00528690433859952,0.000952739247263433,0.000862098652918094,0.00829333521595035,0.00543571786490766,0.00329977310095123,0.00116807473516544,0.0037186573217356,0,0.000863361185230438,0.00876145584245082,0.000647544535336057,0.0136412986058367,0.0109804825258307,0.000712458712312579,0.00474793709144635,0.0304351602333312,0.00167871442019013,0,0.0118444803680014
0.00157010483150235,0,0,0.0828217186281904,0,0,0,0,0.00102220784693725,0.0166745722982897,0,0.00478443778500628,0,0.0148386771911719,0.00080643360966686,0,0,0,0,0.00402802249544122,0,0,0.00162392806628567,0,0,0,0,0,0,0,0.00134439361306997,0.000742475106113365,0.00552432690969246,0.00275793722717915,0.000641889525580561,0,0.00342776359764173,0.00236147990361844,0.00029259097965758,0.00685558532509451,0.00485411048205697,0.00102216023343368,0.00241472978123376,0.0101769212364454,0.00636761776311004,0.00495251559422508,0,0.00465638156904657,0.000576942672544322,0.00324886286863754,0.00994606549514938,0.00174134560392546,0.00899397222209512,0.0159775827339437,0,0.00339738720303323,0.0299278725598938,0.000986954878096377,0.00236529437087765,0.010833061305978
0.000904345539252358,0.000275298344516499,0.000703007416249278,0.11940691469748,0.000408547411650174,0,0.0276858994546049,0.0032686227763094,0.0153725516114284,0,0.00554166599098963,0,0,0.000717042830656762,0.00276455852783685,0,0.0118532257298264,0.00285757415775209,0,0.000321016639137792,0.00398180809758351,0.00363136733712864,0.00122373785806213,0,0,0.00115763226893871,2.10830091026429e-05,0,0.00253877671304889,0.00335334755650446,0.000467651787364507,0.000596407601139062,0.00662580559257513,0.00438291623741017,0,0.00277261721596747,0.00851440642477715,0.00348355770659111,0.000681825910124356,0,0.00876660973814213,0.000957193278124497,0.00180827519463928,0.00797575454087643,0.00611887806994698,0.00340121858845641,0.00191602611512886,0.00169611235607147,0.00377666149226948,0.000153266042244213,0.00732599994074463,0.000234580494825586,0.0128045442102473,0.0131501663895322,0.00432782672413048,0.00263719614297161,0.0319199964345721,0.00300928061059135,0.00235631779335179,0.0132944857619083
0.000700669656171419,0.000694482430132535,0,0.00953545234872494,0,0,0,0,0,0.0591470119342154,0.000926600483638602,0.000507776422943223,0.00332213458181195,0,0.000288486788853989,0,0.00136463861163521,0.00241358392899023,0,0.000501637968550719,0.00441174489695897,0.000658739078585004,0.00131206024519325,0,0,0,0,0.000152487949645809,0.00120940083584243,0.000974256745763791,0.00142328490812959,0.00108374634422773,0.0114603836575124,0,0,0.000525418445947025,0,0,0.00774514163558125,0.0108533759214326,0.00574523265173044,0.000225137185336638,0.00651522603056229,0.0100430011009155,0.012523638317859,0.00434582186534069,0.00121806704611396,0.00050100644187242,0.00233250532182382,0.00138256771395761,0.0107801008338012,0.000436814063892349,0.00898969441853045,0.0156180855550888,0.00445924413954062,0.00022271188529717,0.0284841480149541,0.00150881163861692,0.00265359348622289,0.00552348658668035
